sentence,highlight,category,subcategory,polarity
Such a scheme would produce vast quantities of pollution and noise.,pollution and noise,APPRECIATION,REACTION,NEG
"there is no clear-cut way to overcome these problems, eve though literally millions of pounds has been invested by companies such as Tarmat.",no clear-cut way,APPRECIATION,REACTION,NEG
"On many roads, Sound Baffles have been erected to combat noise by absorbing the carrier waves.",NONE,NONE,NONE,NONE
"these, however, have only a limited affect.",only a limited affect,APPRECIATION,WORTH,NEG
"A way around these problems is, however, in sight.",in sight,APPRECIATION,REACTION,POS
"Road transport will be greatly improved if it is the cars themselves which become quieter, more efficient, and less harmful to the general environment.",NONE,NONE,NONE,NONE
"Many cars have come onto the market which claim to be all these things and more, but they never seem to take off.",never seem to take off,JUDGEMENT,CAPACITY,NEG
The perfect solution would be electric vehicles which would overcome all the aforementioned hurdles.,The perfect solution would be,APPRECIATION,WORTH,POS
The only problem is their range and speed.,The only problem,APPRECIATION,REACTION,NEG
"They can only go about fifty miles per hour as a maximum, and require recharging every 100 miles; which in itself can take nearly six hours!",They can only go about fifty miles per hour,APPRECIATION,REACTION,NEG
"Developments are taking place for faster and more efficient electric cars, but before they can be seen on British roads, we will have to wait well into the next century.",have to wait well into the next century,APPRECIATION,REACTION,NEG
"Railways have developed too, recently.",NONE,NONE,NONE,NONE
All the problems facing railways at the moment are financial and not geographic.,NONE,NONE,NONE,NONE
There is not the widespread interest in rail travel which there once was.,not the widespread interest,APPRECIATION,WORTH,NEG
"More and more people are opting to travel by car these days, and so there is not as much economical input.",NONE,NONE,NONE,NONE
"Closure of lines due to under-usage is now quite common, the costs of maintenance and running costs exceed the income from users.",Closure of lines due to under-usage is now quite common,APPRECIATION,REACTION,NEG
"There is a way around these problems, but it is very expensive.",very expensive,APPRECIATION,REACTION,NEG
A huge advertising campaign explaining how much cheaper rail travel is when compared to other modes of transport would eventually get through.,would eventually get through,APPRECIATION,WORTH,POS
"New trains are also in development, and once again they run off electricity.",NONE,NONE,NONE,NONE
"Along with this, though, is a certain controversy about electrifying the railway lines.",controversy,APPRECIATION,REACTION,NEG
"All in all, the road and rail travel will have a problematic voyage into the future, but their problems will be overcome in the end.", problematic voyage  but their problems will be overcome in the end,APPRECIATION,REACTION,POS
On Britains roads there is an ever increasing volume of traffic.,ever increasing volume of traffic,APPRECIATION,REACTION,NEG
The road network is no longer able to carry this traffic without hold-ups and traffic jams..,no longer able,JUDGEMENT,CAPACITY,NEG
"To remedy this the government has started adding a fourth lane on some streches of our motorways and constructing ring roads and bypasses, with mixed reception.",with mixed reception,APPRECIATION,REACTION,NEG
While the road system is being improoved there seems to be an endless series of roadworks which restrict the highways and cause further delay while the roadworks are in place.,restrict and delay,APPRECIATION,REACTION,NEG
The inability to cope with the ammount of traffic by the road system obviously increases the risk of drives having an accident and the drivers have to be constantly alert as they are nearly always in capacity traffic.,increases the risk,APPRECIATION,WORTH,NEG
It might seem an easy soloution to this  mayhem would be to use public transport; i.e. the Railways.,mayhem,APPRECIATION,REACTION,NEG
People are not taking to the Rail system because of its lack of integration due to the recent privitisation of different areas.,NONE,NONE,NONE,NONE
It has been shown that different companies charge different fares for exactly the same route!, different companies charge different fares for exactly the same route,JUDGEMENT,PROPRIETY,NEG
The main disadvantage with the railways is as the rail service and the bus service are normally owned by different companies it is probable that it is not possible to walk onto a bus off the train.,The main disadvantage,APPRECIATION,REACTION,NEG
If the services were integrated there would be a bus time table which coincided with the train arrival times.,NONE,NONE,NONE,NONE
"Then people would be more likely to catch the train as they would not have to look forwards to a long walk, wait for a bos or an expensive taxi ride.",NONE,NONE,NONE,NONE
"My soloution to the problem would be to improve the rail system and its related bus services, this would get people of the roads and onto the trains.",NONE,NONE,NONE,NONE
To improove the rail service trains have got to be timed to arrive and depart at key times i.e. arrive at eight o'clock and leave at half past six.,NONE,NONE,NONE,NONE
The train and bus companies have to liase with each other and the train fares have to remain relatively cheap i.e. the same price or less as it would cost to go by car.,NONE,NONE,NONE,NONE
If the rate of car ownership continues to increase at such a rapid rate then the roads will be completely congested.,will be completely congested,APPRECIATION,REACTION,NEG
This is the main problem facing the UK's transport system.,the main problem,APPRECIATION,WORTH,NEG
The reasons for this are many and varied.,NONE,NONE,NONE,NONE
"People of today want more freedom and have more disposable income, both factors which will lead to an increase in car ownership.",People of today want more freedom and have more disposable income,JUDGEMENT,PROPRIETY,NONE
"These views are supported by cases like the James Bulger case, and the Fred and Mary West case which have very high publicity and give increasing public awareness to the people on the streets today.",NONE,NONE,NONE,NONE
"People also use cars because they are more convenient than public transport as they can travel whenever they wish, and can travel ""door-to-door"" instead of having to walk to bus stops and stations.",more convenient,APPRECIATION,REACTION,POS
"The enourmos levels of vehicles on the roads have meant that using a bicycle to travel has become unacceptable to many people, due to the danger and also to the levels of pollution from cars on the streets.",unacceptable / the danger and also to the levels of pollution,APPRECIATION,REACTION,NEG
"Rail travel has seen decreased popularity in recent years, due to the immense popularity of the car now.",has seen decreased popularity,APPRECIATION,WORTH,NEG
Some people may not use trains due to their seemingly unreliable services.,unreliable,JUDGEMENT,CAPACITY,NEG
"Trains also fail to offer the freedom of choice available with cars, as the passengers are tyed to the timetables and locations of railway stations.",fail to offer,JUDGEMENT,CAPACITY,NEG
"I think that the government should help Britains transport by aiming to decrease the amount of car useage and increase the usage of buses, trains and other forms of public transport.",NONE,NONE,NONE,NONE
"The government should do this by investing more money into public transport than into road improvements, such as the widening of motorways.",NONE,NONE,NONE,NONE
"This increased investment would lead to more attractive public transport, with more services on the timetables, lower rates and less delays.",more attractive public transport,APPRECIATION,REACTION,POS
These factors may make people convert from using their car to travel to work or school and to use busses or trains instead.,may make people convert,APPRECIATION,WORTH,POS
"This would lead to less congested roads, which could then be used efficiently by people with not other option, and a less polluted environment for all of us to live in.",less congested roads,APPRECIATION,REACTION,POS
This is because public transport is less polluting than personal car useage., less polluting,APPRECIATION,REACTION,POS
Travelling by motorway today is not as easy as it was ment to be by any standards yet every morning and evening motorways accross the United Kingdom are blocked solid with traffic to and from work.,is not as easy as it was ment to be,APPRECIATION,REACTION,NEG
"Not only is this 'ecologically' unsound, due to the harmfull byproducts of the combustion engine which has been stressed in the press recently, but it is also stressful, time wasting and expensive.","ecologically' unsound / stressful, time wasting and expensive",APPRECIATION,REACTION,NEG
"Earth has a finite supply of the fossil fuels from which petroleum and disel for our cars & trains to run on, but 'we' have a need to get to work which could be anything up to 200 miles away.",NONE,NONE,NONE,NONE
Not only is there problems in traveling from A to B but the likelyhood is that if B is any major city you will waste more time looking for somewhere to park there.,will waste,APPRECIATION,REACTION,NEG
"During pre-war Britain rail was the only means of long distance travel within the UK and so the rail system was more efficient with more frequent trains and many more stations, but as the motor car became more popular less people used the rail road and the system declined, the smaller demand has led to less frequent services at an increased price.","declined, the smaller demand has led to less frequent services at an increased price",APPRECIATION,REACTION,NEG
In my opinion the only way forward is the increased use of public transport systems because of the sheer waste caused by the adverage two-car family.,sheer waste,APPRECIATION,REACTION,NEG
"The majority of the cars that you will see whilst travelling at a 'snails' pace a long the M6 out side Birmingham will be driven by one person with no passengers, ",snails' pace ,APPRECIATION,REACTION,NEG
if these drivers had offered to give a collegue from work a lift home the numbers on the road would effectivly be halved.,if these drivers had offered to give a collegue from work a lift home the numbers on the road would effectivly be halved.,JUDGEMENT,PROPRIETY,NEG
Cities such as Manchester have tried hard to controll the incrasing numbers of cars by introducing by-passes & providing multi-storey car parking.,have tried hard,JUDGEMENT,CAPACITY,POS
Some cities have even banned cars from entering the city during work hours making pedestrian life enjoyable.,Some cities have even banned cars,JUDGEMENT,TENACITY,POS
Trams have been restablished in some cities allowing people to leave their car to do their shopping.,NONE,NONE,NONE,NONE
This in my opinion is the attitude that should be adopted not only by town & city councills but by the government to reduce the number of cars on the road.,the attitude that should be adopted,APPRECIATION,WORTH,POS
Amongst recent issues there has been big problems in by the amount of heavy goods vehicles on British roads today.,big problems,APPRECIATION,WORTH,NEG
"This amount of traffic on the roads causes mass congestion on motorways such as the M25 in London and the M61 into Manchester,",causes mass congestion,APPRECIATION,WORTH,NEG
this static movement on British motorways has caused an increase in gas emissions from car exhausts into the atmosphere which will eventually cause global warming.,will eventually cause global warming,APPRECIATION,WORTH,NEG
A few suggestions have been made to remedy these problems but with no great effect.,with no great effect,APPRECIATION,REACTION,NEG
A number of these are listed below.,NONE,NONE,NONE,NONE
An allowance of better access into Britain main industrial centres buy the building of large and susstacial highways.,NONE,NONE,NONE,NONE
"A limited number of H.G.V. operators, only submitting a few lorries off their fleet to be used on British roads.",NONE,NONE,NONE,NONE
A kind of cataylitic converter for diesel engines to reduce some of the harmful emissions.,NONE,NONE,NONE,NONE
Another idea is for the government to introduce some type of tolling system to be used on motorway and main A roads.,NONE,NONE,NONE,NONE
A final approach to the problem of congestion on motorways is to make Heavy Goods transport compulsory for rail only.,NONE,NONE,NONE,NONE
"Here are only a few suggestions of how too convert British roads, but just these few would be cause for debate.",cause for debate,APPRECIATION,REACTION,NEG
The problems of these suggestions is that it would cost millions of pounds to put any one of them into practice.,would cost millions of pounds,APPRECIATION,REACTION,NEG
Take the first suggestion for example a network of routes into all major industrial cities would cost billions due to the fact that it costs £1million a mile of motorway.,NONE,NONE,NONE,NONE
If there were only a limited number of H.G.V. operators it would drive alot of people out of business and that wouldn't be in the best interest of the government.,NONE,NONE,NONE,NONE
A cataylitic converter for diesel engines is a good idea but it would only reduce gas emissions and not congestions.,is a good idea but it would only reduce gas emissions and not congestions,APPRECIATION,REACTION,NEG
All the suggestions I have made have problems and this is why we still have problems on our roads today.,have problems,APPRECIATION,REACTION,NEG
The modern traffic jam is now a familiar situation to nearly all of the western worlds population.,traffic jam is now a familiar situation,APPRECIATION,REACTION,NEG
If every time we use our cars to travel any distance we find ourselfs in a 10 mile tail-back why do we still insist that that we travel in such a meander., why do we still insist that that we travel in such a meander,JUDGEMENT,TENACITY,NEG
"To illistrate my point, if every time you took a train, it stops for 2 hours on the track, everyone would stop taking it.",NONE,NONE,NONE,NONE
So why do we still insist on travelling on the road.,So why do we still insist on travelling on the road.,JUDGEMENT,TENACITY,NEG
"The answer most likly lies in 2 areas, firsty the attitude of many westerners is that ""it is their right to travel in such a mannor'.","the attitude of many westerners is that ""it is their right to travel in such a mannor'",JUDGEMENT,PROPRIETY,NEG
"This is in my opinion, shows considerable ignorance.",considerable ignorance,JUDGEMENT,PROPRIETY,NEG
"I am by far and away no 'greeny' who wants to make everyone live in tipee's and eat soya bean soup, however I do agree that somthing should be done about the volume of traffic that is on our roads today.",no 'greeny' who wants to make everyone live in tipee's and eat soya bean soup,JUDGEMENT,PROPRIETY,NEG
"The governments answer to the considerably growing amount of traffic on our roads it just to back move, they are not even attempting to treat the cause, thent more and more people are now driving.",they are not even attempting to treat,JUDGEMENT,TENACITY,NEG
We all feel that we have a divine right to be on the road.,We all feel that we have a divine right to be on the road.,JUDGEMENT,PROPRIETY,NEG
"Do we, the westeren world (5% of the population of the world), have the right to use the resources of the rest of the world at the environmental cost?",use the resources of the rest of the world at the environmental cost,JUDGEMENT,PROPRIETY,NEG
Just beause we can not be bothered to get out of bed a bit early to catch public transport.,Just beause we can not be bothered to get out of bed a bit early,JUDGEMENT,TENACITY,NEG
That could have disasterous implications.,disasterous implications,APPRECIATION,WORTH,NEG
"The 2nd reason, is the promblem that the public transport service, for example rail, is declining so much, there is no train to catch in the morning.",declining so much,APPRECIATION,COMPOSITION,NEG
"People stopped using trains because of the fall in standards,",the fall in standards,APPRECIATION,REACTION,NEG
"these people were forced onto the road, routes became unprofitable and so were closed and services cut back, forcing more people onto the roads.",forcing more people onto the roads,APPRECIATION,REACTION,NEG
The whole system has now formed a spiraling circle of road use.,spiraling circle of road use,APPRECIATION,REACTION,NEG
"This has now been intensifyed with the sale of the railways, to privite rail companys, profit motivated.",intensifyed,APPRECIATION,REACTION,NEG
"The vital, small rail links may now be closed, priviously they where subsudised to make up the loss, now the privite companies can not afford to do this so many will close, cutting off small towns and villages.",cutting off small towns and villages,APPRECIATION,REACTION,NEG
"The only way to stop the circle will be to break it, the only people to do this is the government or ourselves,",NONE,NONE,NONE,NONE
 If we make the effort to use public transport it will expand into a good service;,NONE,NONE,NONE,NONE
Unfortunatly the public seam to be appethetic to this idea.,appethetic,JUDGEMENT,PROPRIETY,NEG
"As the technological advances made in science become greater producing quicker, more powerful products of the time it is nessecary that the ability to run such projects also develops as fast.",NONE,NONE,NONE,NONE
This is where the computer is used.,NONE,NONE,NONE,NONE
Computers are able to run much faster than the human brain and without doubt they are able to hold much more information on a vast range of topics.,are able to run much faster than the human brain,APPRECIATION,REACTION,POS
Humans grow ever more dependant on computers as the technology continues to advance.,ever more dependant,JUDGEMENT,CAPACITY,NEG
The ability the computer has to process information and present it in a fashion in which we can understand it is amazing.,amazing,APPRECIATION,REACTION,POS
It is such speed which gives the computer processor the edge over the human brain.,the edge over the human brain,APPRECIATION,REACTION,POS
There are however tasks which the computer cannot acomplish.,cannot acomplish,JUDGEMENT,CAPACITY,NEG
A computer is not free thinking like a human and can therefore only accomplish what it is programmed to do., is not free thinking,JUDGEMENT,CAPACITY,NEG
"This could cause a great problem, for example the smallest of errors in the program would cause the computer to proceed with the wrong program as it cannot distinguish that the program has an error.",could cause a great problem,APPRECIATION,WORTH,NEG
It reads the program as a human would instructions and processes them.,NONE,NONE,NONE,NONE
If a human would have been in the same position the error would have more chance of being detected and the product would have a better change of being satisfactory.,NONE,NONE,NONE,NONE
Although in this situation the human would take longer to process the order there would be a greater chance of the correct finished product that the attempt by the computer.,there would be a greater chance of the correct finished product,APPRECIATION,WORTH,POS
However if the correct program is loaded into the computer it is a much more efficient method of production.,a much more efficient method,APPRECIATION,REACTION,POS
This is well illustrated in the car manufacturing industry of today.,NONE,NONE,NONE,NONE
The production line would consist of robots all doing the job of a human but with advantages to the producer.,NONE,NONE,NONE,NONE
However one key factor is that in order for the computer to work it needs a human brain.,NONE,NONE,NONE,NONE
This again is because of the computer's inability to think.,inability to think,JUDGEMENT,CAPACITY,NEG
They only do what they are told and a human is needed to input such information.,They only do what they are told,JUDGEMENT,CAPACITY,NEG
A good example of this is at the Rolls Royce factory.,NONE,NONE,NONE,NONE
Although all the engine parts are made by computer controlled robots a human had to input the original template of the piece.,NONE,NONE,NONE,NONE
The man also has to be present during the manufacturing process of the piece incase anything goes wrong so that he can correct the program.,NONE,NONE,NONE,NONE
This shows that without the input and knowledge of a human brain the computer is a virtually worthless machine.,virtually worthless,APPRECIATION,WORTH,NEG
All of the vast amount of knowledge and information stored in a computer is knowledge which has been added by a human.,NONE,NONE,NONE,NONE
The computer does however have other qualities.,NONE,NONE,NONE,NONE
It's ability to communicate is another computer is exceptional.,exceptional,APPRECIATION,WORTH,POS
"Again this is due to the improvement in technology, instead of humans porting information or having a conversation on the telephone the computer is able to send an electronic message down the telephone line to a computer at the other end.",NONE,NONE,NONE,NONE
This computer then decodes the message and sends an appriate answer back.,NONE,NONE,NONE,NONE
Usually this is the piece of information asked for.,NONE,NONE,NONE,NONE
The computer has in a way replaced the human brain in that is now does the job a human brain used to do.,NONE,NONE,NONE,NONE
"The human brain has not become redundant due to the invention of the computer but instead man has found a way in which the life of a human can be made more efficient and less stressful, by the invention of the computer.", more efficient and less stressful,APPRECIATION,REACTION,POS
It is clear that in order for a computer to work it needs the input of a human brain and so in this respect it has definatley not replaced the human.,NONE,NONE,NONE,NONE
The main and vital difference between the human brain and the computer is that the brain is living and free thinking and until a computer which has these capabilities is invented the human brain will never be made redundant by a computer.,the brain is living and free thinking,JUDGEMENT,CAPACITY,POS
How far and in what ways has the human brain been made redundant by the invention of the computer?,NONE,NONE,NONE,NONE
"The invention of the computer, however useful, still requires a human brain to instruct it what to do.","however useful, still requires a human brain",JUDGEMENT,CAPACITY,NEG
This shows the need for a human perception of a problem and the possible ways of solving it.,NONE,NONE,NONE,NONE
This is not only shown in the input of data but also in the design and manufacture of computers themselves: it was human ingenuity that led to its invention.,human ingenuity that led to its invention,JUDGEMENT,CAPACITY,POS
Although the computers are able to measure events more effectively than the human brain computers are a tool.,NONE,NONE,NONE,NONE
This is especially shown in the scientific world where increasingly efficient measuring tools have made events possible and known to mankind but they only work when a human realises there is something they can be applied to.,NONE,NONE,NONE,NONE
"This is obviously shown in the area of space exploration, such as the Hubble telescope.",NONE,NONE,NONE,NONE
"The invention, however, has led to a reduction in the need for manual labour.",has led to a reduction in the need for manual labour,APPRECIATION,REACTION,POS
"This is chiefly shown on the production line where robotics is often used to ensure quick methods of manufacture that require no time off, sick pay, redundancy or leave to go to the bathroom.","require no time off, sick pay, redundancy or leave to go to the bathroom",APPRECIATION,COMPOSITION,POS
This has reduced the need for human skills and tradition specialist occupations.,NONE,NONE,NONE,NONE
"This is seen by lathe operators, computer are able to produce each good exactly the same as the previous one.",NONE,NONE,NONE,NONE
"However, the employment of labour saving devices can be seen as being something that frees the human brain and allows it to contemplate ""higher things"".","frees the human brain and allows it to contemplate ""higher things""",APPRECIATION,WORTH,POS
"This can only lead to advancement of both society and the individual, all brains are encouraged, and indeed it is necessary, to learn more.",lead to advancement,APPRECIATION,WORTH,POS
This is because the opportunity for non-skilled employment is being reduced by the ability to employ machinery.,NONE,NONE,NONE,NONE
"The computer has also served to make the brain redundant, or unused, by the advent of entertainment systems.","redundant, or unused",APPRECIATION,WORTH,NEG
"The almost universal fanaticism of the young, it is also widespread amongst the supposedly more learned adults, for games has led to less employment of the brain.",games has led to less employment of the brain,APPRECIATION,WORTH,NEG
"Unless it is to learn to get past level five, a necessary skill for life.",necessary,APPRECIATION,WORTH,POS
This prevents the traditional learning process and wastes time and energy that could be better applied.,wastes time and energy,APPRECIATION,REACTION,NEG
"Although computers previously needed a programme to program it, now since these have been written, the new generation of computer users do not have to have the skill to do such activity.",NONE,NONE,NONE,NONE
"This is because the computer is 'thinking' for them, they no longer have to tell it what to do, and the new generation is applying the program.",NONE,NONE,NONE,NONE
This reduces the use of the brain to invent and what is learnt is how to apply a program (a sequence of events) rather than to invent it (which needs some individual thought).,NONE,NONE,NONE,NONE
The use of computers for communication purposes has not led to a redundancy but in fact to a greater thinking level due to the free exchange of ideas., led to a greater thinking level ,APPRECIATION,WORTH,POS
The advent of the Internet has meant that more time can be spent contemplating the information found rather than devising methods of extracting information.,NONE,NONE,NONE,NONE
Such access has also led to highly skilled 'hackers' that need a degree of talent in manipulating computers before they achieve their goals.,highly skilled 'hackers' that need a degree of talent,JUDGEMENT,CAPACITY,POS
"This has produced a response for ever more methods of encryption, often based on mathematical equations that would take years for a computer to solve.",NONE,NONE,NONE,NONE
The use of cypher has been popular down the ages and computer are merely providing a tool to continue this often brain-taxing task.,popular down the ages,APPRECIATION,WORTH,POS
"Computers are limited in availability, due to the costs, and many people stubbornly refuse to use them, although they indirectly affect everyone's life.",indirectly affect everyone's life,APPRECIATION,WORTH,NONE
The human fascination for the past shows that many people are concerned with looking back rather than looking forward to technology., people are concerned with looking back rather than looking forward,JUDGEMENT,PROPRIETY,NEG
This inhibits the progress and development to a state in which there is no need for the human brain.,inhibits the progress and development to a state in which there is no need for the human brain,APPRECIATION,WORTH,POS
"However, now that the British economy is a service bound one the 'human touch' has become increasingly important.",increasingly important,APPRECIATION,REACTION,POS
This is shown by the high prices hardcrafted goods command and many personal services are based on humans.,NONE,NONE,NONE,NONE
It is hard to imagine going to see a medical computer rather than a doctor.,NONE,NONE,NONE,NONE
"Computers lack the ability to adjust to any situation and adapt, they are confined by the boundaries of their programs.",lack the ability to adjust,JUDGEMENT,CAPACITY,NEG
"Whilst humans show a distrust of technology, as is always the case, then the human brain will never become fully redundant.",NONE,NONE,NONE,NONE
"There has always been a wide range of reasons for people not eating beef, or meat in general.",NONE,NONE,NONE,NONE
Meat production is one of the most inefficient energy conversion processes known to man.,one of the most inefficient energy conversion processes known to man,APPRECIATION,REACTION,NEG
"The conversion of the sun's energy into meat is only 1/10 as efficient, as eating the plants directly.",NONE,NONE,NONE,NONE
"Therefore, a field used to rear a handful of cows could be used to grow cereals and feed 10 times as many people.",NONE,NONE,NONE,NONE
"Coupled with the health and animal rights reasons, there are a wide number of factors influencing why people may not consume beef.",NONE,NONE,NONE,NONE
"Adaptions in food technology however have made for much more efficiency in the conversion of energy by this process, such as battery rearing and hot house (i.e. in door) cows.",much more efficiency,APPRECIATION,WORTH,POS
"Cruelty to animals has never really stopped people from eating meat, as there is little relationship in general in the public's minds as to how the piece of meat with their meal equates to a living being.",there is little relationship in general in the public's minds as to how the piece of meat with their meal equates to a living being,JUDGEMENT,PROPRIETY,NEG
People eat meat due to finding it tastier than a plateful of vegetables.,NONE,NONE,NONE,NONE
Humans are omnivores and always have been.,NONE,NONE,NONE,NONE
So what could possibly stop them from eating beef?,NONE,NONE,NONE,NONE
The answer is fear for their lives.,NONE,NONE,NONE,NONE
"One of the new technological improvements to boost the efficiency of crop to wheat by the agricultural industry was to take all of the undesirable bits of sheep and other animals, such as gristle and bone and boil them up to produce offal.",NONE,NONE,NONE,NONE
"Hey presto, instant animal feed.",NONE,NONE,NONE,NONE
"Never mind the fact that cows are herbivores, and knowing better than thousands of years of evolution, this practice has been widespread since the 1980's.",NONE,NONE,NONE,NONE
"The problem, of course is BSE, or bovine spongiform encylopathy.",NONE,NONE,NONE,NONE
"This is a brain disorder of cows, caused the the deterioration of brain tissue from useful brain cells into plaques of useless tissue, causing convultions and other disorders, and eventually death.","into plaques of useless tissue, causing convultions and other disorders, and eventually death.",APPRECIATION,REACTION,NEG
"Scrapie, a similar disease in sheep and goats which arose before BSE seems to have the same cause, a defective prion protein which is not destroyed by conventional cooking that causes those effects on the brain.",NONE,NONE,NONE,NONE
"There is a similar disease in humans, CJD which has an incubationary period of 30 years or more that causes the same deterioration of the brain tissue.",NONE,NONE,NONE,NONE
Current research suggests that BSE can jump to mice and therefore it is feasable it could jump the species barrier to humans.,NONE,NONE,NONE,NONE
"Undetectable, and with no known cure, there is no wonder why people have taken to stopping eating beef.",NONE,NONE,NONE,NONE
"The most immediate effect on the agricultural industry is that beef sales are down, by as much as 50 %.",The most immediate effect,APPRECIATION,WORTH,NONE
Cattle has cost more to raise than the price they are sold for.,NONE,NONE,NONE,NONE
"Profits are down, and farmers who some months previously had prize prime cows, worth vast sums of money at market have found that they are unable to sell them for even 1/10 of the price.",NONE,NONE,NONE,NONE
Profits are therefore down.,profits are down,APPRECIATION,REACTION,NEG
"It is cheaper to shoot and bury the beef cattle than to raise those making a loss, and so it may soon become that many farmers who have a choice will stop rearing beef cattle.",NONE,NONE,NONE,NONE
"The meat cannot be exported, as no one else in the world wants to risk the infections.",no one else in the world wants to risk the infections,JUDGEMENT,PROPRIETY,POS
"Over the long term, the effect may be to stop people eating beef altogether, or it is believed that as many as 600 infected cows are eaten per week.",NONE,NONE,NONE,NONE
"New safeguards, such as screening cows for BSE before slaughter have been brought into effect, but the disease may not be caught before the animal is slaughtered.",NONE,NONE,NONE,NONE
"In order to boost public confidence to raise flagging sales, many research studies are being carried out, some by the industry, but most not.",NONE,NONE,NONE,NONE
"The use of the brain and spinal cord in offal has now been banned, but this costs money to do, and there will always be unscrupulous people prepared to look the other way to enrich their coffers.",unscrupulous people,JUDGEMENT,PROPRIETY,NEG
"The net effect of all this is that is may eventually become so expensive to produce beef compared with profits, that mass rearing schemes may no longer be carried out.",NONE,NONE,NONE,NONE
The industry will need to alter its ways if it wants to continue to make a profit and therefore this means money.,NONE,NONE,NONE,NONE
"Only time will tell, whether beef will ever be the popular again, as we find out the real cost of the roast beef dinner.",NONE,NONE,NONE,NONE
"One thing is sure, that the industry will come under ever increasing scrutiny until the issue is decided one way or the other.",ever increasing scrutiny,APPRECIATION,REACTION,NEG
There are several reasons why people in the UK might cease to eat beef.,NONE,NONE,NONE,NONE
"For example, everyone may suddenly become vegetarian or tastes may alter in such a way that nobody in the UK wants to eat beef.",NONE,NONE,NONE,NONE
"However, these occurances, are at best unlikely.",NONE,NONE,NONE,NONE
The only plausible reason for people in the UK to cease to eat beef is the disease CJD.,NONE,NONE,NONE,NONE
This disease is the human equivalent of 'MAD COW DISEASE' or BSE.,NONE,NONE,NONE,NONE
In recent years there has been a huge increase in the number of cases of BSE.,a huge increase in the number of cases of BSE,APPRECIATION,REACTION,NEG
This seems to be mainly caused by farming methods 20 years ago.,NONE,NONE,NONE,NONE
"In the 1960's and 1970's, cows were given feed which included sheep (and their brains) in its ingredients.",NONE,NONE,NONE,NONE
Many animals which ate this feed developed BSE and even more passed it on to their young.,NONE,NONE,NONE,NONE
"There is a belief among the people of the UK that eating beef is dangerous, as they believe that the BSE can be passed on to humans when they eat beef.",dangerous,APPRECIATION,REACTION,NEG
There is no scientific evidence at present to suggest that this is the case.,NONE,NONE,NONE,NONE
"However, cases of CJD and BSE have been widely documented in the media and this has greatly influenced people.",has greatly influenced people,APPRECIATION,WORTH,NEG
Pictures on the television of cows with BSE who are unable to walk properly and humans with CJD highlight how horrific and debilitating a condition CJD is.,horrific and debilitating,APPRECIATION,REACTION,NEG
"If the media coverage of CJD and BSE continues in the same manner, it is not inconceivable that people in the UK might be so scared that they cease to eat beef entirely.",NONE,NONE,NONE,NONE
"If people in the UK were to cease to eat beef, the effect on the agricultural industry would be devestating.",devestating,APPRECIATION,WORTH,NEG
Cow farmers would fall in numbers by a huge amount.,NONE,NONE,NONE,NONE
"This is because with the beef market destroyed, the only market open to these farmers would be the dairy products market which is not large enough to sustain many sellers.",not large enough,APPRECIATION,COMPOSITION,NEG
"The CJD and BSE scare could even spread to dairy products and if this happened, cow farmers would cease to exist entirely.",would cease to exist entirely,JUDGEMENT,CAPACITY,NEG
"However, when people cease to eat beef what do they eat instead?",NONE,NONE,NONE,NONE
"The answer is pork, lamb and other meats.",NONE,NONE,NONE,NONE
The increase in demand for the other meats would be approximately proportionate to the fall in demand for beef.,NONE,NONE,NONE,NONE
"This would mean, that producers of other meats would benefit from people ceasing to eat beef.",would benefit,APPRECIATION,WORTH,POS
Although cattle farmers could no longer remain in the beef market they could switch from cattle farming to pig or sheep farming and stay in the agricultural industry.,NONE,NONE,NONE,NONE
The overall effect on the size of the agricultural industry would be virtually nil.,virtually nil,APPRECIATION,WORTH,NONE
This is because the fall in the size of the beef market would correspond with a rise in the size of the other agricultural product markets.,NONE,NONE,NONE,NONE
This would mean that the structure of agricultural industry had altered greatly with the proportion of it taken up by the meats other than beef market growing.,NONE,NONE,NONE,NONE
People in the U.K. may refuse to eat beef due to growing concern about humans being able to pick up the equivalent of BSE - (mad cows disease).,NONE,NONE,NONE,NONE
It is believed the the disease may have originally come from sheep.,NONE,NONE,NONE,NONE
There waste then being fed to cows which have generated a new form of the disease.,NONE,NONE,NONE,NONE
There is at the moment no proof for or against the transmition of mad cows disease to humans.,NONE,NONE,NONE,NONE
"Some scientists argue that there is a distinct possibility and something needs urgently to be done, whereas others claim that tests on mice and other animals have shown that there is no possibility of humans developing the syndrome.",NONE,NONE,NONE,NONE
"The problem could have a shattering effect on the agricultural industry as already many people and shools have refused to eat beef, the pace being accelerated by media hype.",could have a shattering effect,APPRECIATION,WORTH,NEG
It is going to be very difficult for the industry to turn the problem around and regain faith in beef products.,very difficult,APPRECIATION,REACTION,NEG
The growing concern will quickly destroy any exporting which will lead to further losses so the problem is quite large.,will lead to further losses so the problem is quite large,APPRECIATION,WORTH,NEG
I believe that to improve this the industry will have to clean up its production lines and hygene.,NONE,NONE,NONE,NONE
It is believed that the disease is only passed on from the brain and spinal column and so if this is removed properly then the risk of illness being passed on is removed.,NONE,NONE,NONE,NONE
The carcass will have to be cleaned and cooked properly using clean knives etc. instead of washing the carcass in dirty water only changing it once a day.,NONE,NONE,NONE,NONE
